name,link,description,price,name_nearby_place,hotel_class,img_origin,location_rating,province
Nhà Nghỉ Thanh Hằng,https://www.bluepillow.com/search?lat=10.42732&lng=104.99832&dest=ago&cat=Vacation rental (other)&accomodationids=655204cc1811a9820ec2f77a,"Relaxed rooms, some with balconies, in a polished hotel offering a restaurant & a rooftop bar.",4260000,"Phố đi bộ Sông Cầu, Noi Bai International Airport, Quán Cơm Rang Thành Bắc",3-star hotel,"https://lh5.googleusercontent.com/p/AF1QipOlVU_y_gHjG7-UHZzhxMxVlqOrSUkPnTSY-Y_X=s10000, https://lh5.googleusercontent.com/p/AF1QipPhOR2BQndL-OeAS36ceoZF_c8ZIJuq81bn9ztY=s10000, https://lh5.googleusercontent.com/p/AF1QipN0-Eh4ueg4KbiUrHTXWLGWVQSOZIPd9xJWpEjc=s10000, https://lh5.googleusercontent.com/p/AF1QipO2BKU0AgwJrF5HgD8-ZGTL9kUWe8KcLX-2uxCb=s10000, https://lh5.googleusercontent.com/p/AF1QipPUBbgML_Gwez0gwuY-u0YtdrYkJuHtWe8VnDsm=s10000, https://lh5.googleusercontent.com/p/AF1QipOIdMeUKm63m_uwhPNAN58GEkJGXMMuA_3wHesw=s10000, https://lh5.googleusercontent.com/p/AF1QipNlhFwKpt73qcwO1qxyMQngKLNq-F3g2XyMtnNy=s10000, https://lh5.googleusercontent.com/p/AF1QipNbmC9gUzFy1WfefQqPgg7Z9eU6BUI5yglebNQ=s10000, https://lh5.googleusercontent.com/p/AF1QipMerr7pYkkqQx4oA2BrcipHY2qVcxCrEcBI2gBb=s10000",2.6,Bắc Kạn
Phoenix Resort Bac Ninh,http://www.phoenixresortbacninh.com/,"Elegant rooms in a Colonial-style hotel offering an outdoor pool, a restaurant & a spa.",2660000,"Ba Chua Kho Temple, Noi Bai International Airport, Nhà hàng Sông Cầu",4-star hotel,"https://lh5.googleusercontent.com/p/AF1QipO5reH1fW9NmHMi0Ln47jSbeRuaH8bOwpgrl-Ef=s10000, https://images.trvl-media.com/lodging/23000000/22680000/22679300/22679283/fbbf4d98_z.jpg, https://lh5.googleusercontent.com/p/AF1QipOQmlSsn3mf4-aB5m9kcUljoqduQazH1qbbN1zp=s10000, https://images.trvl-media.com/lodging/23000000/22680000/22679300/22679283/05dd4ca1_z.jpg, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/97/44/65/phoenix-resort-b-c-ninh.jpg?w=2100&h=1200&s=1, https://images.trvl-media.com/lodging/23000000/22680000/22679300/22679283/1d569965_z.jpg, https://lh5.googleusercontent.com/p/AF1QipOlpRhHDCvKHGNEd04L_o7JNH2RVRkmxy3g2frx=s10000, https://lh5.googleusercontent.com/p/AF1QipNZ08NRsNLgS93p3ybNTHpZwgHaG3q-nfifPJ9y=s10000, https://lh5.googleusercontent.com/p/AF1QipM0mzMlDZaA5WleyhsNnjCc29scHgl3c1bXdENY=s10000",2.2,Bắc Ninh
Grand Phoenix Hotel Bac Ninh,https://www.grandphoenixhotel.com.vn/,"Chic quarters in an upscale hotel featuring a spa, an indoor pool & a gym, plus a cafe/bar.",2840000,"Bac Ninh Temple of Literature, Noi Bai International Airport, Nhà hàng Nhật Bản New Fuji",5-star hotel,"https://images.trvl-media.com/lodging/46000000/45010000/45009700/45009690/b47d6541_z.jpg, https://lh5.googleusercontent.com/p/AF1QipNk-7hIaeQ640Q6x-6exjSaVjtnVMqNhzD2-xBx=s10000, https://lh5.googleusercontent.com/p/AF1QipMRMpIi5bvB_43pYkk717rtv_Qv9A2n4yVbd5T4=s10000, https://lh5.googleusercontent.com/p/AF1QipMni4OVIvvCUM1uFPz8fy9BO2_MYDr1FxyKKstw=s10000, https://lh5.googleusercontent.com/p/AF1QipMF4ZxMSxXoO2apmaYN9Pk_EZt8b_Wak9m17IqY=s10000, https://lh5.googleusercontent.com/p/AF1QipMuW0VozSKZO4Dn_Q4Ub-yyeUOAE7B04mZShaO-=s10000, https://lh5.googleusercontent.com/p/AF1QipMMnhjLIaUYdnb-vw_0BiKv0uNo6v5CeUrxBw9I=s10000, https://lh5.googleusercontent.com/p/AF1QipMuu10Z7cQWYOP5me2O9fsuRMWaKnFiKIXnezZz=s10000, https://lh5.googleusercontent.com/p/AF1QipNxKDBnd27kBEWd9H0q54uN5VOGXoqWXmHU4lVu=s10000",3.4,Bắc Ninh
Senna Wellness Retreat,http://www.sennaretreat.com/,"Relaxed rooms, some with balconies, in a polished hotel offering a restaurant & a rooftop bar.",1337000,"Ba Chua Kho Temple, Noi Bai International Airport, Nhà hàng Ẩm thực Sinh thái Hồn Quê",4-star hotel,"https://photos.hotelbeds.com/giata/original/94/942624/942624a_hb_ro_019.jpg, https://lh5.googleusercontent.com/p/AF1QipPNhY9TxIcOMsopBEB357r3IBEvLKBlromkImce=s10000, https://lh5.googleusercontent.com/p/AF1QipNt4ZTe-z7jqTTfEzLdH8oEVrymb1X8fVBn3pDn=s10000, https://lh5.googleusercontent.com/p/AF1QipN7ssnOlmRPoEqPtpwoMasvE8TgWoR5K6x5InqK=s10000, https://lh5.googleusercontent.com/p/AF1QipMFWrSXDcrMhlV8c93nU249aOFKf5ibLypEaqRt=s10000, https://lh5.googleusercontent.com/p/AF1QipN7DM3caVke5SMUqImMepSlZuNtgsvGerRaqOwM=s10000, https://lh5.googleusercontent.com/p/AF1QipOjizFmZ7Kf7yC0ox8LfMUzhrcozW7U8abLZzxv=s10000, https://photos.hotelbeds.com/giata/original/94/942624/942624a_hb_a_001.jpg, https://lh5.googleusercontent.com/p/AF1QipO_nVfD4_rSseuwQb6Gg9lfO06xwCGZ8zJDQwWy=s10000",2.2,Bắc Ninh
Royal Phoenix Hotel Bac Ninh,https://facebook.com/royalphoenixhotel,"Relaxed rooms, some with balconies, in a polished hotel offering a restaurant & a rooftop bar.",3559000,"Ba Chua Kho Temple, Noi Bai International Airport, Long Giang Restaurant",3-star hotel,"https://lh5.googleusercontent.com/p/AF1QipNioe4yYu4y5cgyZuzydveN7_ffRTMvT0Nb26VU=s10000, https://lh5.googleusercontent.com/p/AF1QipP-dES-zKDnyse79NEhTdoAeVjG0xGXtWMES_EX=s10000, https://lh5.googleusercontent.com/p/AF1QipPTQ2I095JzBsOYdvK0fVq77GB2dyAADizPcbr8=s10000, https://lh5.googleusercontent.com/p/AF1QipM7mgXhVAsF7E3KTP-GocBYIQmS88vP_wTySqkv=s10000, https://lh5.googleusercontent.com/p/AF1QipPmBZzPRYGmeDhn2rOhlen2tCUXjTtNIzyFtmBx=s10000, https://lh5.googleusercontent.com/p/AF1QipPpVjbEqtz_aEiflXK2U69F1YgEJvp-3BEPR4rm=s10000, https://lh5.googleusercontent.com/p/AF1QipNA9BTu8UippiL5IqrHSpAmbMbfGfV711Rj91vv=s10000, https://lh5.googleusercontent.com/p/AF1QipObvEgYfEQeC9-qttOKT-nID9g3qoLU6ueKPfxl=s10000, https://lh5.googleusercontent.com/p/AF1QipMjuWWtsq6y5H7g7GU0mqXOQ0hkz3vw0jrvLdQZ=s10000",2.4,Bắc Ninh
Mường Thanh Luxury Bac Ninh Hotel,https://luxurybacninh.muongthanh.com/,"Refined quarters in an upmarket hotel with 2 chic eateries & a casino, plus a spa & a poolside bar.",940000,"Ba Chua Kho Temple, 395 Ngô Gia Tự - Bắc Ninh (Trung Tâm Bồi Dưỡng Chính Trị Thành Phố), Noi Bai International Airport, Nhà Hàng Lẩu Nướng Bam Bam",4-star hotel,"https://images.trvl-media.com/lodging/20000000/19680000/19675300/19675298/7d33bda9_z.jpg, https://photos.hotelbeds.com/giata/original/70/703302/703302a_hb_a_001.jpg, https://images.trvl-media.com/lodging/20000000/19680000/19675300/19675298/55273970_z.jpg, https://images.trvl-media.com/lodging/20000000/19680000/19675300/19675298/df6a826d_z.jpg, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/00/66/69/khach-s-n-mu-ng-thanh.jpg?w=2100&h=1400&s=1, https://images.trvl-media.com/lodging/20000000/19680000/19675300/19675298/w5205h3473x0y0-52726945_z.jpg, https://lh5.googleusercontent.com/p/AF1QipNOC5enuo842YQokcBhTKBBCoR-jxCTgF33kQYO=s10000, https://images.trvl-media.com/lodging/20000000/19680000/19675300/19675298/f4ae9424_z.jpg, https://lh5.googleusercontent.com/p/AF1QipO2j6IaEth28NZ2mjXosGIgesdqW9DEz1EDnGQ=s10000",3.6,Bắc Ninh
Mandala Hotel & Spa Bac Ninh,http://mandalahotels.com.vn/mandala-bac-ninh/,"Contemporary hotel featuring dining & free breakfast, plus a spa, a gym & a rooftop infinity pool.",2914000,"Ba Chua Kho Temple, Điểm Đỗ Xe Buýt TP. Bắc Ninh, Noi Bai International Airport, Nhà hàng Ẩm thực Quan họ Phú Sơn",4-star hotel,"https://lh5.googleusercontent.com/p/AF1QipNFWRNCmgu6_k2NRtmRYLM6yz2wv1u8FngYXxIG=s10000, https://photos.hotelbeds.com/giata/original/66/663548/663548a_hb_ro_041.JPG, https://photos.hotelbeds.com/giata/original/66/663548/663548a_hb_r_001.jpg, https://photos.hotelbeds.com/giata/original/66/663548/663548a_hb_w_001.jpg, https://photos.hotelbeds.com/giata/original/66/663548/663548a_hb_a_002.jpg, https://photos.hotelbeds.com/giata/original/66/663548/663548a_hb_ro_046.JPG, https://photos.hotelbeds.com/giata/original/66/663548/663548a_hb_ro_011.jpg, https://lh5.googleusercontent.com/p/AF1QipMv0ZHX6StLL4W4AuyE7xREnIH_kGUNObt9SXIY=s10000, https://lh5.googleusercontent.com/p/AF1QipOZ3qC5jQovQGYVNwRutTdIX8qu79fbdbI_zZZO=s10000",2.5,Bắc Ninh
Hana 1 Apartment  Hotel Bac Ninh - Deluxe Apartment,https://www.bluepillow.com/search?p_id=589de5547c00cb10c8d94641&dest=bkng&cat=Apartment&accomodationids=594388477c00cb0e643465ce,"Relaxed rooms, some with balconies, in a polished hotel offering a restaurant & a rooftop bar.",1559000,"235-237 Nguyễn Văn Cừ - Quốc Lộ 1, Noi Bai International Airport, NHÀ HÀNG GALBICHON 갈비촌",3-star hotel,"https://q-xx.bstatic.com/xdata/images/hotel/max1440x1080/198381528.jpg?k=77243e274e6b604e5183514264a55da64e8b6ccdc116d556c118f7c0eab4d454&o=, https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/65395467.jpg?k=751c41cb370cea74681077bb1e89ac5906bf765315f66c66cf3669cb99617520&o=, https://q-xx.bstatic.com/xdata/images/hotel/max1440x1080/198379912.jpg?k=295c0e8b805d6fb9aa3f9361c1a8d49df087bfd1281697e4ad64923d26685dec&o=, https://q-xx.bstatic.com/xdata/images/hotel/max1440x1080/198379794.jpg?k=6929135b9d82b91f890ebe3dfc5fb584f1c8f687e272f767c9af4257aa30112a&o=, https://q-xx.bstatic.com/xdata/images/hotel/max1440x1080/198380450.jpg?k=1444e8479b1e8c1da359d7bcd11f4034f16e779a0710140a1cfacdb7df61b64c&o=, https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/216779748.jpg?k=e471aec7f7040e314e00118474d267701afb2b4d0824990c2b088ba391b05dd4&o=, https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/216779747.jpg?k=6f82049b4830678e9e68b38858b0627fd3d77d2fe67b91ad55f2155fc24f01ac&o=, https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/216779744.jpg?k=c7be166ab7c7b04419db63c51a94d14938ae412b56937e03c9cb74de1f80c0b3&o=, https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/198384929.jpg?k=f35720fbad6c6cfa767744da77112a9f716d149f4c95801a7de23ac0aca376f1&o=",3.7,Bắc Ninh
HANA Apartment Hotel Bac Ninh,https://hanahotel.com.vn/,Streamlined studios & suites in an unpretentious apartment hotel offering breakfast.,2341000,"Cột Đồng Hồ Thành Phố Bắc Ninh, Bệnh Xá CA Tỉnh Bắc Ninh (Cổng Ô) - Quốc Lộ 1, Noi Bai International Airport, 청식당 - Nhà hàng Cheong",3-star hotel,"https://images.trvl-media.com/lodging/23000000/22420000/22415800/22415750/fab667fd_z.jpg, https://cdn.worldota.net/t/1024x768/content/8d/1c/8d1ce70c2f10ad2bf905883a428d3d6bacae433c.jpeg, https://cdn.worldota.net/t/1024x768/content/00/ff/00ff7f147e3c81f6efef1d8798218197a05ad228.jpeg, https://lh5.googleusercontent.com/p/AF1QipNNzBokaYGfELDWzwHiaO4HZMr2qGsVyslD4BJI=s10000, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/98/af/fc/hana-apartment-hotel.jpg?w=2100&h=1400&s=1, https://lh5.googleusercontent.com/p/AF1QipOC4JMMt9OifKmg2rokNRb1zq3KIi-xfRlpjrft=s10000, https://lh5.googleusercontent.com/p/AF1QipNrUUGjBY_27xquL7EAxpBn54NIO-dC7AswNuSp=s10000, https://lh5.googleusercontent.com/p/AF1QipPqwJr4IFU3aQElkzNxcvNqjS6hzaUbfqTZCe-B=s10000, https://lh5.googleusercontent.com/p/AF1QipO-hNKX-wvc0c7O8ffAws5JgEzfO2du3xpMTX4_=s10000",3.9,Bắc Ninh
Kinh Bắc Palace Hotel,https://www.bluepillow.com/search?lat=10.42732&lng=104.99832&dest=ago&cat=Vacation rental (other)&accomodationids=655204cc1811a9820ec2f77a,"Relaxed rooms, some with balconies, in a polished hotel offering a restaurant & a rooftop bar.",4384000,"Thành Cổ Bắc Ninh, Noi Bai International Airport, Nhà hàng Uri - Trung tâm tổ chức sự kiện Uri Palace",3-star hotel,"https://lh5.googleusercontent.com/p/AF1QipPuc3pVd7VngDmKcEv5ZEwu6lzI0yLCLSghydG7=s10000, https://lh5.googleusercontent.com/p/AF1QipMRy27bOGrLiQAukuu4Phidet4IB6HEfHqxS860=s10000, https://lh5.googleusercontent.com/p/AF1QipNtYo_pwWD3c275ZOET8i1wZzhvCkg8zmL8H3nJ=s10000, https://lh5.googleusercontent.com/p/AF1QipO6URQPA3pixehFcHeqV7sPR8Ju25yBrG0uOOvf=s10000, https://lh5.googleusercontent.com/p/AF1QipNCDkMo9zNURYVdtm7m4RwGN2v38PLbD1BtpPbQ=s10000, https://lh5.googleusercontent.com/p/AF1QipMoHYd9cuGy-F8AHdZITxSCxSdXLqJ9KCdwc6vc=s10000, https://lh5.googleusercontent.com/p/AF1QipNQi5sAMAsfR-qA5UcB4gBb3GwwE9yiYKz6MS_k=s10000, https://lh5.googleusercontent.com/p/AF1QipOg8tC4ofavpfhe6R0v307yyBFezTr4QgMwUK8A=s10000, https://lh5.googleusercontent.com/p/AF1QipOdW7roz9RzqKTRgmfOAWXIDa-NLFzQ-xRrhRSO=s10000",3.8,Bắc Ninh
SKY HOTEL - KHÁCH SẠN BẮC NINH,https://www.agoda.com/vi-vn/sky-hotel-khach-s-n-b-c-ninh-h44876113/hotel/bac-ninh-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1812893&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-08-31&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tag=vcmcmla1-xchy-56l8-w0bh-y5antnplyruc&isCityHaveAsq=false&los=1&searchrequestid=e6439621-1454-423e-909f-89e5708e4b2f,"Relaxed rooms, some with balconies, in a polished hotel offering a restaurant & a rooftop bar.",808000,"Thành Cổ Bắc Ninh, Noi Bai International Airport, Nhà Hàng Huyền Sushi",3-star hotel,"https://images.trvl-media.com/lodging/110000000/109330000/109326300/109326230/bb7bf5fe_z.jpg, https://lh5.googleusercontent.com/p/AF1QipOwcJ13t1bXP5-JUUd8MTErIuHEThO_eAaYSDz7=s10000, https://images.trvl-media.com/lodging/110000000/109330000/109326300/109326230/78a37722_z.jpg, https://lh5.googleusercontent.com/p/AF1QipM-qY4qFlB_L6G-pd8II2HwNL4_jxfY_UpE68Dy=s10000, https://images.trvl-media.com/lodging/110000000/109330000/109326300/109326230/f1deacca_z.jpg, https://lh5.googleusercontent.com/p/AF1QipOWcobWSDQqKWtsa3eiMUaMiYDegyS7HrCCvnq_=s10000, https://lh5.googleusercontent.com/p/AF1QipNBC_T9ojAmfzekoXcR_ENPO3nHeaoG6hevvOkM=s10000, https://lh5.googleusercontent.com/p/AF1QipNmmRnompOz8b8VmB7JT7Cux18z8Md4tdONsfJz=s10000, https://lh5.googleusercontent.com/p/AF1QipM9NSWqM4IX_bx-2ycztJry_TEMM0wzI6l6P97E=s10000",2.5,Bắc Ninh
VIET LONG COMPLEX Residence,https://www.bluepillow.com/search?lat=10.42732&lng=104.99832&dest=ago&cat=Vacation rental (other)&accomodationids=655204cc1811a9820ec2f77a,"Relaxed rooms, some with balconies, in a polished hotel offering a restaurant & a rooftop bar.",2606000,"Bac Ninh Temple of Literature, Noi Bai International Airport, Nhà hàng Nhật Bản New Fuji",3-star hotel,"https://lh5.googleusercontent.com/p/AF1QipNlLzd2p8o1mvvzxRes95zlW8ZlQPyiFi16ZPwy=s10000, https://lh5.googleusercontent.com/p/AF1QipPlYxMW2DvwMW3Ol-82JrzpqOOiPFkVqhGnQmv3=s10000, https://lh5.googleusercontent.com/p/AF1QipOU9k0Pq1f1Q5W54MvWCGSFK_f6paxu9R6CUdd6=s10000, https://lh5.googleusercontent.com/p/AF1QipOewCXlgfDneppHh9r91YpHfh2NyCjRi35IY3je=s10000, https://lh5.googleusercontent.com/p/AF1QipOzQGID8yk1DmmwzpMsLmU-igBbmuTGUPx6uUFp=s10000, https://cdn.worldota.net/t/1024x768/content/97/0a/970aeac98872be894645053584eb493ebb2886c8.jpeg, https://lh5.googleusercontent.com/p/AF1QipNVKUemTgYrKZfsWLVqh83_6jdslI6MTWQBQa0N=s10000, https://lh5.googleusercontent.com/p/AF1QipOYdbjnJaY2VLiHSro5xxlPmF_AHNDtu_xrc8rz=s10000, https://lh5.googleusercontent.com/p/AF1QipNf1H64bfp_SLOa3l_6JrHn4QVMz1rfbQ2o2ea3=s10000",3.5,Bắc Ninh
Atour phoenix Hotel (亚朵酒店),https://www.bluepillow.com/search?lat=10.42732&lng=104.99832&dest=ago&cat=Vacation rental (other)&accomodationids=655204cc1811a9820ec2f77a,"Relaxed rooms, some with balconies, in a polished hotel offering a restaurant & a rooftop bar.",1928000,"Ba Chua Kho Temple, Noi Bai International Airport, Nhà Hàng Bách An",3-star hotel,"https://lh5.googleusercontent.com/p/AF1QipPrHf8U7l7v-r5untEFfDGQ7aCMGpeUd1q9I1mi=s10000, https://lh5.googleusercontent.com/p/AF1QipO804eyUF1uXaI4zqahmpgVBkt53g6wdUOu66YE=s10000, https://lh5.googleusercontent.com/p/AF1QipMMAWBy5hPatrzhqR2PP22xnUfdfLeHEX1bR9My=s10000, https://lh5.googleusercontent.com/p/AF1QipNvZCZfpsdtXSPQfPS1oJ5fON4hzpCvJqezShMU=s10000, https://lh5.googleusercontent.com/p/AF1QipPoT6LefF0Mms6rwlEX_YfZQrlzei3CSzWtcwnI=s10000, https://lh5.googleusercontent.com/p/AF1QipNgkmGp3vS2fjsznv1crQk4SqpI7YFLY4q_5alk=s10000, https://lh5.googleusercontent.com/p/AF1QipOJEV72Jpd4fEk3lJFUQcB3CR0RYY3wcQRxLLIi=s10000, https://lh5.googleusercontent.com/p/AF1QipP-Inoihs_xGg1KlHFWzFocUwFvgeg1B_5_0f0u=s10000, https://lh5.googleusercontent.com/p/AF1QipPlW0Zl2r1lbsVqaSGL7DYypvKldSXeWApUweid=s10000",2.4,Bắc Ninh
NEW HELLO HOTEL BAC NINH,http://www.booking.com/,"Relaxed rooms, some with balconies, in a polished hotel offering a restaurant & a rooftop bar.",3012000,"Bac Ninh Temple of Literature, Noi Bai International Airport, Nhà hàng lucky 行運大排檔",3-star hotel,"https://lh5.googleusercontent.com/p/AF1QipOSdQwa91NHn1arrAfpRdQGtO3MWYG319-qVams=s10000, https://lh5.googleusercontent.com/p/AF1QipMAF-uWcPo1jxxqPrhiuZOtWIjZ_t2A4Stil07J=s10000, https://lh5.googleusercontent.com/p/AF1QipOBvdB1sJkktWqkhOIkc0L4t6k5P4_R8FNleplG=s10000, https://lh5.googleusercontent.com/p/AF1QipMIOWxB2F_mFG3Nyiz9wHfEg1pxAAzHcjsibChA=s10000, https://lh5.googleusercontent.com/p/AF1QipOdAbDxcyVTrL1cgWZkGXdxN_clIlzHcQzjbmra=s10000, https://lh5.googleusercontent.com/p/AF1QipO6_9KDvPdM8Q8TZjHS_LiWXRucGJeBRHrf6G8S=s10000, https://lh5.googleusercontent.com/p/AF1QipME-hBeMbBf31JrqQRIonzfX59uFPvEmypuYU2u=s10000, https://lh5.googleusercontent.com/p/AF1QipOQxuHeU7lyjhYqi3kbR0CZS7vC0eOBaNmRp_10=s10000, https://lh5.googleusercontent.com/p/AF1QipO21EUPRTUK23jqJZOF1tvxQRHtv5EMlYcBt-uP=s10000",3.5,Bắc Ninh
4M2 HOTEL,https://www.kezan.com.vn/,"Relaxed rooms, some with balconies, in a polished hotel offering a restaurant & a rooftop bar.",4652000,"Bac Ninh Temple of Literature, 235-237 Nguyễn Văn Cừ - Quốc Lộ 1, Noi Bai International Airport, NHÀ HÀNG GALBICHON 갈비촌",3-star hotel,"https://lh5.googleusercontent.com/p/AF1QipOlWKeQ48gO-s8YAB6VZ3kchdh1z7pEYVtdKDZq=s10000, https://lh5.googleusercontent.com/p/AF1QipOx3uIz5G1GaiGdFpSvh87TO07jA3mvsfudOL_Y=s10000, https://lh5.googleusercontent.com/p/AF1QipMFLEjSC6HlBknW4xNflSVYgvre7FCWcpkPHeSD=s10000, https://lh5.googleusercontent.com/p/AF1QipN5ip89McSD5TiQ04PyLFBHniDS_pRFGVa_EpBR=s10000, https://lh5.googleusercontent.com/p/AF1QipP5AZHmZvpGVNEu3kiZsFRZYPZLyk1YIt3lMamS=s10000, https://lh5.googleusercontent.com/p/AF1QipPSR1Wz8btl5Ucgtu29FLIuSnpfEbi9I3NkEtCA=s10000, https://cdn.worldota.net/t/1024x768/content/b6/16/b616e066e6c35529db3df35a6dd4e552ee69c135.jpeg, https://cdn.worldota.net/t/1024x768/content/09/1f/091f3c39af13946a98c93176dff64d4e8eb5d078.jpeg, https://cdn.worldota.net/t/1024x768/content/84/66/8466e39e5497cecb1404a259d5025045d4948319.jpeg",3.8,Bắc Ninh
Orange phoenix hotel 桔子酒店,https://www.bluepillow.com/search?lat=10.42732&lng=104.99832&dest=ago&cat=Vacation rental (other)&accomodationids=655204cc1811a9820ec2f77a,"Relaxed rooms, some with balconies, in a polished hotel offering a restaurant & a rooftop bar.",4935000,"Ba Chua Kho Temple, Noi Bai International Airport, Nhà Hàng Bách An",3-star hotel,"https://lh5.googleusercontent.com/p/AF1QipON-QE4-wstQz2YLGs6DBYwU8QJDSNHDVSZ6p6M=s10000, https://lh5.googleusercontent.com/p/AF1QipNjAxnIRJfASd7o5EBpukd4EVrM_Mbgk9arg52T=s10000, https://lh5.googleusercontent.com/p/AF1QipNveEyQbMGYf_6sMqulNfx1Y4Bo-VRg09dQQiGf=s10000, https://lh5.googleusercontent.com/p/AF1QipO2neHDLDXzy4VqnI_0yWG2toxibnmZiLZqQT9F=s10000, https://lh5.googleusercontent.com/p/AF1QipMsWNHDc05ClJ1WUnaKeNdlWZQMv9O0zx6LxCA4=s10000, https://lh5.googleusercontent.com/p/AF1QipOwNrtWdc2V8VN1WP__mVO0nmeqlSxsFEjBrVTx=s10000, https://lh5.googleusercontent.com/p/AF1QipPUCKBouREWX_dyz8YZ7fbaezDm09YJOMySZKKI=s10000",2.4,Bắc Ninh
Luxury Phoenix Hotel Bac Ninh,https://www.bluepillow.com/search?lat=10.42732&lng=104.99832&dest=ago&cat=Vacation rental (other)&accomodationids=655204cc1811a9820ec2f77a,"Relaxed rooms, some with balconies, in a polished hotel offering a restaurant & a rooftop bar.",910000,"Ba Chua Kho Temple, Điểm Đỗ Xe Buýt TP. Bắc Ninh, Noi Bai International Airport, Nhà Hàng Bách An",3-star hotel,"https://images.trvl-media.com/lodging/105000000/104840000/104833500/104833437/ba927bd8_z.jpg, https://images.trvl-media.com/lodging/105000000/104840000/104833500/104833437/0bc99830_z.jpg, https://images.trvl-media.com/lodging/108000000/107220000/107213300/107213299/e70ec1a7_z.jpg, https://cdn.worldota.net/t/1024x768/content/dd/88/dd885f72588ebce816022700120230e8ef5973ae.JPEG, https://images.trvl-media.com/lodging/105000000/104840000/104833500/104833437/a859962e_z.jpg, https://cdn.worldota.net/t/1024x768/content/5f/70/5f70f171960268e0dc78bd1c5f7340cc16b11dcd.JPEG, https://lh5.googleusercontent.com/p/AF1QipPk50gXiR7eM7IKDYjUKPab4NogIEh_2R6St8f3=s10000, https://images.trvl-media.com/lodging/108000000/107220000/107213300/107213299/28aa1654_edited_03ce_z.jpg, https://images.trvl-media.com/lodging/108000000/107220000/107213300/107213299/742fea00_z.jpg",2.4,Bắc Ninh
